date,car_type,geo,total_trips
2017-01-18,Gett,manhattan_hub,0.0
2017-01-18,Gett,outer_boroughs_ex_airports,0.0
2017-01-18,Gett,total,7268.0
2017-01-18,Green taxis,airports,5.0
2017-01-18,Green taxis,manhattan,11037.0
2017-01-18,Green taxis,manhattan_hub,24.0
2017-01-18,Green taxis,outer_boroughs_ex_airports,20376.0
2017-01-18,Green taxis,total,31487.0
2017-01-18,Juno,airports,0.0
2017-01-18,Juno,manhattan,0.0
2017-01-18,Juno,manhattan_hub,0.0
2017-01-18,Juno,outer_boroughs_ex_airports,0.0
2017-01-18,Juno,total,20107.0
2017-01-18,Lyft,airports,1256.0
2017-01-18,Lyft,manhattan,16717.0
2017-01-18,Lyft,manhattan_hub,11749.0
2017-01-18,Lyft,outer_boroughs_ex_airports,23223.0
2017-01-18,Lyft,total,41208.0
2017-01-18,Non-app FHVs,airports,83.0
2017-01-18,Non-app FHVs,manhattan,321.0
2017-01-18,Non-app FHVs,manhattan_hub,203.0
2017-01-18,Non-app FHVs,outer_boroughs_ex_airports,5254.0
2017-01-18,Non-app FHVs,total,97987.0
2017-01-18,Uber,airports,8617.0
2017-01-18,Uber,manhattan,133450.0
2017-01-18,Uber,manhattan_hub,101442.0
2017-01-18,Uber,outer_boroughs_ex_airports,84179.0
2017-01-18,Uber,total,226674.0
2017-01-18,Via,airports,86.0
2017-01-18,Via,manhattan,27697.0
2017-01-18,Via,manhattan_hub,15191.0
2017-01-18,Via,outer_boroughs_ex_airports,107.0
2017-01-18,Via,total,27906.0
2017-01-18,Yellow taxis,airports,13758.0
2017-01-18,Yellow taxis,manhattan,299395.0
2017-01-18,Yellow taxis,manhattan_hub,206457.0
2017-01-18,Yellow taxis,outer_boroughs_ex_airports,6343.0
2017-01-18,Yellow taxis,total,324350.0
2017-01-19,Gett,airports,0.0
2017-01-19,Gett,manhattan,0.0
2017-01-19,Gett,manhattan_hub,0.0
2017-01-19,Gett,outer_boroughs_ex_airports,0.0
2017-01-19,Gett,total,7898.0
2017-01-19,Green taxis,airports,10.0
2017-01-19,Green taxis,manhattan,12195.0
2017-01-19,Green taxis,manhattan_hub,20.0
2017-01-19,Green taxis,outer_boroughs_ex_airports,21956.0
2017-01-19,Green taxis,total,34224.0
2017-01-19,Juno,airports,0.0
2017-01-19,Juno,manhattan,0.0
2017-01-19,Juno,manhattan_hub,0.0
2017-01-19,Juno,outer_boroughs_ex_airports,0.0
2017-01-19,Juno,total,21776.0
2017-01-19,Lyft,airports,1260.0
2017-01-19,Lyft,manhattan,15752.0
2017-01-19,Lyft,manhattan_hub,11241.0
2017-01-19,Lyft,outer_boroughs_ex_airports,18342.0
2017-01-19,Lyft,total,35362.0
2017-01-19,Non-app FHVs,airports,88.0
2017-01-19,Non-app FHVs,manhattan,316.0
2017-01-19,Non-app FHVs,manhattan_hub,209.0
2017-01-19,Non-app FHVs,outer_boroughs_ex_airports,5434.0
2017-01-19,Non-app FHVs,total,100104.0
2017-01-19,Uber,airports,10223.0
2017-01-19,Uber,manhattan,141898.0
2017-01-19,Uber,manhattan_hub,107796.0
2017-01-19,Uber,outer_boroughs_ex_airports,90376.0
2017-01-19,Uber,total,242937.0
2017-01-19,Via,airports,66.0
2017-01-19,Via,manhattan,27091.0
2017-01-19,Via,manhattan_hub,14801.0
2017-01-19,Via,outer_boroughs_ex_airports,139.0
2017-01-19,Via,total,27307.0
2017-01-19,Yellow taxis,airports,13988.0
2017-01-19,Yellow taxis,manhattan,306381.0
2017-01-19,Yellow taxis,manhattan_hub,212305.0
2017-01-19,Yellow taxis,outer_boroughs_ex_airports,6764.0
2017-01-19,Yellow taxis,total,332425.0
2017-01-20,Gett,airports,0.0
2017-01-20,Gett,manhattan,0.0
2017-01-20,Gett,manhattan_hub,0.0
2017-01-20,Gett,outer_boroughs_ex_airports,0.0
2017-01-20,Gett,total,9759.0
2017-01-20,Green taxis,airports,9.0
2017-01-20,Green taxis,manhattan,12944.0
2017-01-20,Green taxis,manhattan_hub,32.0
2017-01-20,Green taxis,outer_boroughs_ex_airports,26002.0
2017-01-20,Green taxis,total,39017.0
2017-01-20,Juno,airports,0.0
2017-01-20,Juno,manhattan,0.0
2017-01-20,Juno,manhattan_hub,0.0
2017-01-20,Juno,outer_boroughs_ex_airports,0.0
2017-01-20,Juno,total,24592.0
2017-01-20,Lyft,airports,1364.0
2017-01-20,Lyft,manhattan,18187.0
2017-01-20,Lyft,manhattan_hub,12921.0
2017-01-20,Lyft,outer_boroughs_ex_airports,22397.0
2017-01-20,Lyft,total,41960.0
2017-01-20,Non-app FHVs,airports,80.0
2017-01-20,Non-app FHVs,manhattan,244.0
2017-01-20,Non-app FHVs,manhattan_hub,143.0
2017-01-20,Non-app FHVs,outer_boroughs_ex_airports,6186.0
2017-01-20,Non-app FHVs,total,105730.0
2017-01-20,Uber,airports,10586.0
2017-01-20,Uber,manhattan,157761.0
2017-01-20,Uber,manhattan_hub,117971.0
2017-01-20,Uber,outer_boroughs_ex_airports,110732.0
2017-01-20,Uber,total,279647.0
2017-01-20,Via,airports,103.0
2017-01-20,Via,manhattan,27940.0
2017-01-20,Via,manhattan_hub,15418.0
2017-01-20,Via,outer_boroughs_ex_airports,193.0
2017-01-20,Via,total,28250.0
2017-01-20,Yellow taxis,airports,13781.0
2017-01-20,Yellow taxis,manhattan,313969.0
2017-01-20,Yellow taxis,manhattan_hub,216014.0
2017-01-20,Yellow taxis,outer_boroughs_ex_airports,7815.0
2017-01-20,Yellow taxis,total,341519.0
2017-01-21,Gett,airports,0.0
2017-01-21,Gett,manhattan,0.0
2017-01-21,Gett,manhattan_hub,0.0
2017-01-21,Gett,outer_boroughs_ex_airports,0.0
2017-01-21,Gett,total,10004.0
2017-01-21,Green taxis,airports,9.0
2017-01-21,Green taxis,manhattan,11287.0
2017-01-21,Green taxis,manhattan_hub,19.0
2017-01-21,Green taxis,outer_boroughs_ex_airports,29311.0
2017-01-21,Green taxis,total,40678.0
2017-01-21,Juno,airports,0.0
2017-01-21,Juno,manhattan,0.0
2017-01-21,Juno,manhattan_hub,0.0
2017-01-21,Juno,outer_boroughs_ex_airports,0.0
2017-01-21,Juno,total,24902.0
2017-01-21,Lyft,airports,920.0
2017-01-21,Lyft,manhattan,19111.0
2017-01-21,Lyft,manhattan_hub,13753.0
2017-01-21,Lyft,outer_boroughs_ex_airports,25085.0
2017-01-21,Lyft,total,45137.0
2017-01-21,Non-app FHVs,airports,47.0
2017-01-21,Non-app FHVs,manhattan,101.0
2017-01-21,Non-app FHVs,manhattan_hub,51.0
2017-01-21,Non-app FHVs,outer_boroughs_ex_airports,5945.0
2017-01-21,Non-app FHVs,total,88696.0
2017-01-21,Uber,airports,5945.0
2017-01-21,Uber,manhattan,156308.0
2017-01-21,Uber,manhattan_hub,117150.0
2017-01-21,Uber,outer_boroughs_ex_airports,123672.0
2017-01-21,Uber,total,286551.0
2017-01-21,Via,airports,70.0
2017-01-21,Via,manhattan,16169.0
2017-01-21,Via,manhattan_hub,8834.0
2017-01-21,Via,outer_boroughs_ex_airports,151.0
2017-01-21,Via,total,16401.0
2017-01-21,Yellow taxis,airports,9191.0
2017-01-21,Yellow taxis,manhattan,305623.0
2017-01-21,Yellow taxis,manhattan_hub,216376.0
2017-01-21,Yellow taxis,outer_boroughs_ex_airports,9319.0
2017-01-21,Yellow taxis,total,329071.0
2017-01-22,Gett,airports,0.0
2017-01-22,Gett,manhattan,0.0
2017-01-22,Gett,manhattan_hub,0.0
2017-01-22,Gett,outer_boroughs_ex_airports,0.0
2017-01-22,Gett,total,9092.0
2017-01-22,Green taxis,airports,13.0
2017-01-22,Green taxis,manhattan,8959.0
2017-01-22,Green taxis,manhattan_hub,24.0
2017-01-22,Green taxis,outer_boroughs_ex_airports,24499.0
2017-01-22,Green taxis,total,33536.0
2017-01-22,Juno,airports,0.0
2017-01-22,Juno,manhattan,0.0
2017-01-22,Juno,manhattan_hub,0.0
2017-01-22,Juno,outer_boroughs_ex_airports,0.0
2017-01-22,Juno,total,22490.0
2017-01-22,Lyft,airports,1554.0
2017-01-22,Lyft,manhattan,17310.0
2017-01-22,Lyft,manhattan_hub,12513.0
2017-01-22,Lyft,outer_boroughs_ex_airports,22148.0
2017-01-22,Lyft,total,41024.0
2017-01-22,Non-app FHVs,airports,90.0
2017-01-22,Non-app FHVs,manhattan,103.0
2017-01-22,Non-app FHVs,manhattan_hub,62.0
2017-01-22,Non-app FHVs,outer_boroughs_ex_airports,5323.0
2017-01-22,Non-app FHVs,total,82868.0
2017-01-22,Uber,airports,9956.0
2017-01-22,Uber,manhattan,139140.0
2017-01-22,Uber,manhattan_hub,104056.0
2017-01-22,Uber,outer_boroughs_ex_airports,112397.0
2017-01-22,Uber,total,262051.0
2017-01-22,Via,airports,116.0
2017-01-22,Via,manhattan,14703.0
2017-01-22,Via,manhattan_hub,8278.0
2017-01-22,Via,outer_boroughs_ex_airports,134.0
2017-01-22,Via,total,14982.0
2017-01-22,Yellow taxis,airports,14272.0
2017-01-22,Yellow taxis,manhattan,264588.0
2017-01-22,Yellow taxis,manhattan_hub,189297.0
2017-01-22,Yellow taxis,outer_boroughs_ex_airports,8891.0
2017-01-22,Yellow taxis,total,292046.0
2017-01-23,Gett,airports,0.0
2017-01-23,Gett,manhattan,0.0
2017-01-23,Gett,manhattan_hub,0.0
2017-01-23,Gett,outer_boroughs_ex_airports,0.0
2017-01-23,Gett,total,8619.0
2017-01-23,Green taxis,airports,13.0
2017-01-23,Green taxis,manhattan,11380.0
2017-01-23,Green taxis,manhattan_hub,35.0
2017-01-23,Green taxis,outer_boroughs_ex_airports,22512.0
2017-01-23,Green taxis,total,33958.0
2017-01-23,Juno,airports,0.0
2017-01-23,Juno,manhattan,0.0
2017-01-23,Juno,manhattan_hub,0.0
2017-01-23,Juno,outer_boroughs_ex_airports,0.0
2017-01-23,Juno,total,22781.0
2017-01-23,Lyft,airports,1444.0
2017-01-23,Lyft,manhattan,16953.0
2017-01-23,Lyft,manhattan_hub,12127.0
2017-01-23,Lyft,outer_boroughs_ex_airports,21180.0
2017-01-23,Lyft,total,39600.0
2017-01-23,Non-app FHVs,airports,75.0
2017-01-23,Non-app FHVs,manhattan,285.0
2017-01-23,Non-app FHVs,manhattan_hub,173.0
2017-01-23,Non-app FHVs,outer_boroughs_ex_airports,5815.0
2017-01-23,Non-app FHVs,total,102775.0
2017-01-23,Uber,airports,10446.0
2017-01-23,Uber,manhattan,152750.0
2017-01-23,Uber,manhattan_hub,114732.0
2017-01-23,Uber,outer_boroughs_ex_airports,98491.0
2017-01-23,Uber,total,262189.0
2017-01-23,Via,airports,105.0
2017-01-23,Via,manhattan,28430.0
2017-01-23,Via,manhattan_hub,15986.0
2017-01-23,Via,outer_boroughs_ex_airports,116.0
2017-01-23,Via,total,28668.0
2017-01-23,Yellow taxis,airports,15019.0
2017-01-23,Yellow taxis,manhattan,268031.0
2017-01-23,Yellow taxis,manhattan_hub,182231.0
2017-01-23,Yellow taxis,outer_boroughs_ex_airports,6289.0
2017-01-23,Yellow taxis,total,293800.0
2017-01-24,Gett,airports,0.0
2017-01-24,Gett,manhattan,0.0
2017-01-24,Gett,manhattan_hub,0.0
2017-01-24,Gett,outer_boroughs_ex_airports,0.0
2017-01-24,Gett,total,8383.0
2017-01-24,Green taxis,airports,7.0
2017-01-24,Green taxis,manhattan,11860.0
2017-01-24,Green taxis,manhattan_hub,30.0
2017-01-24,Green taxis,outer_boroughs_ex_airports,21034.0
2017-01-24,Green taxis,total,32969.0
2017-01-24,Juno,airports,0.0
2017-01-24,Juno,manhattan,0.0
2017-01-24,Juno,manhattan_hub,0.0
2017-01-24,Juno,outer_boroughs_ex_airports,0.0
2017-01-24,Juno,total,22457.0
2017-01-24,Lyft,airports,1278.0
2017-01-24,Lyft,manhattan,19979.0
2017-01-24,Lyft,manhattan_hub,13720.0
2017-01-24,Lyft,outer_boroughs_ex_airports,27960.0
2017-01-24,Lyft,total,49232.0
2017-01-24,Non-app FHVs,airports,66.0
2017-01-24,Non-app FHVs,manhattan,296.0
2017-01-24,Non-app FHVs,manhattan_hub,181.0
2017-01-24,Non-app FHVs,outer_boroughs_ex_airports,5753.0
2017-01-24,Non-app FHVs,total,102153.0
2017-01-24,Uber,airports,8349.0
2017-01-24,Uber,manhattan,160999.0
2017-01-24,Uber,manhattan_hub,120865.0
2017-01-24,Uber,outer_boroughs_ex_airports,94993.0
2017-01-24,Uber,total,264818.0
2017-01-24,Via,airports,83.0
2017-01-24,Via,manhattan,29533.0
2017-01-24,Via,manhattan_hub,16257.0
2017-01-24,Via,outer_boroughs_ex_airports,123.0
2017-01-24,Via,total,29756.0
2017-01-24,Yellow taxis,airports,13696.0
